"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"15002","241410_at",0.350587254937437,0.0974100822155095,3.70135806376124,0.000528790706644122,0.00240030152642319,-1.09991633099814,NA,NA
"1216","1568868_at",0.445859426957984,-0.0307721461891761,3.70126206476482,0.000528947995052684,0.0024006168863207,-1.10019983043015,"CYP27C1","cytochrome P450 family 27 subfamily C member 1"
"4011","206394_at",0.644679747314177,0.15964666732025,3.7012750082511,0.000528926785334932,0.0024006168863207,-1.10016160661959,"MYBPC2","myosin binding protein C2"
"6262","212451_at",-0.757040185982201,-0.0268827323048896,-3.70100504875916,0.000529369320809727,0.00240232964934195,-1.10095881652699,"SECISBP2L","SECIS binding protein 2 like"
"9158","220716_at",0.227528806634622,0.00467016839123992,3.7008872676225,0.000529562506711184,0.00240300689305619,-1.10130662231903,"GNL3LP1","G protein nucleolar 3 like pseudogene 1"
"9159","220716_at",0.227528806634622,0.00467016839123992,3.7008872676225,0.000529562506711184,0.00240300689305619,-1.10130662231903,"ERCC8","ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
"5132","209526_s_at",-0.791280101702815,-0.289567914459649,-3.70065945846499,0.0005299363536884,0.00240450374588492,-1.10197932110521,"HDGFL3","HDGF like 3"
"4580","208372_s_at",0.405379428174527,0.0615998480340748,3.70011408964506,0.000530832361779072,0.00240836937849729,-1.10358964711578,"LIMK1","LIM domain kinase 1"
"9301","221400_at",0.243543455015195,0.0538568919987969,3.7000717053911,0.000530902057377808,0.00240844637343464,-1.10371479061856,"MYO3A","myosin IIIA"
"11419","226919_at",0.371295794393136,0.0574051617615415,3.70005019443338,0.000530937432812212,0.00240844637343464,-1.10377830343384,"LYRM2","LYR motif containing 2"
"887","1559678_s_at",0.16604679794461,-0.343711804978346,3.6994159025302,0.000531981562336133,0.00241298257182081,-1.10565100577883,"GS1-24F4.2","uncharacterized LOC100652791"
"7719","217002_s_at",0.5296748077955,0.183211260738057,3.69937100368829,0.000532055546448285,0.00241311795952385,-1.10578355949452,"HTR3A","5-hydroxytryptamine receptor 3A"
"10765","225482_at",0.429496913726558,0.110748200959007,3.69924543121556,0.000532262516615893,0.00241385642800049,-1.10615427904075,"KIF1A","kinesin family member 1A"
